"","WageGroup","EduGroup","IndustryGroup","JobGroup","RiskGroup","AgeGroup","Sex","sum_Employment"
"47","0",0,"9","4","2","5",2,10.791
"48","0",0,"9","4","2","6",2,18.075
"49","0",0,"9","4","2","7",2,16.135
"50","0",0,"9","4","3","6",2,112.647
"51","0",0,"9","4","3","7",2,125.565
"52","0",0,"9","9","2","6",2,58.121
"53","0",0,"9","9","2","7",2,163.397
"54","0",0,"9","9","3","5",2,576.001
"55","0",0,"9","9","3","6",2,1104.654
"56","0",0,"9","9","3","7",1,100.63
"57","0",0,"9","9","3","7",2,832.917
"58","0",0,"11","9","2","6",2,52.649
"59","0",0,"11","9","3","6",1,113.974
"60","0",0,"12","9","2","5",2,142.264
"61","0",0,"12","9","2","7",1,340.857
"62","0",0,"12","9","2","7",2,1686.104
"63","0",0,"14","9","2","5",2,36.208
"64","0",0,"14","9","2","6",1,55.513
"65","0",0,"14","9","2","6",2,943.416
"66","0",0,"14","9","2","7",1,575.406
"67","0",0,"14","9","2","7",2,4065.491
"68","0",0,"15","3","2","7",2,99.754
"69","0",0,"15","3","3","5",1,26.285
"70","0",0,"15","3","3","7",1,42.71
"71","0",0,"15","4","1","6",2,27.621
"72","0",0,"15","4","1","7",2,509.807
"73","0",0,"15","4","2","6",2,298.67
"74","0",0,"15","4","2","7",2,1183.114
"75","0",0,"15","5","3","7",1,7.585
"76","0",0,"15","5","3","7",2,7.001
"77","0",0,"15","9","2","4",2,48.436
"78","0",0,"15","9","2","5",1,48.69
"79","0",0,"15","9","2","5",2,10.23
"80","0",0,"15","9","2","6",1,310.542
"81","0",0,"15","9","2","6",2,2848.145
"82","0",0,"15","9","2","7",1,2487.989
"83","0",0,"15","9","2","7",2,26253.401
"84","0",0,"15","9","3","6",2,12.655
"85","0",0,"15","9","3","7",1,149.773
"86","0",0,"15","9","3","7",2,967.508
"87","0",0,"16","4","2","7",2,112.452
"88","0",0,"16","7","2","7",1,42.504
"89","0",0,"16","9","2","5",2,29.43
"90","0",0,"16","9","2","6",2,288.139
"91","0",0,"16","9","2","7",1,20.735
"92","0",0,"16","9","2","7",2,1247.806
"93","0",0,"16","9","3","7",2,381.411
"94","0",0,"17","4","1","6",2,36.343
"95","0",0,"17","4","1","7",1,162.303
"96","0",0,"17","4","1","7",2,2347.632
"97","0",0,"17","4","2","5",2,47.03
"98","0",0,"17","4","2","6",2,970.463
"99","0",0,"17","4","2","7",1,141.399
"100","0",0,"17","4","2","7",2,3511.555
"101","0",0,"17","5","2","6",2,328.98
"102","0",0,"17","5","3","7",2,32.593
"103","0",0,"17","8","2","5",1,32.126
"104","0",0,"17","8","2","7",1,109.018
"105","0",0,"17","9","2","4",2,25.505
"106","0",0,"17","9","2","5",1,248.545
"107","0",0,"17","9","2","5",2,45.622
"108","0",0,"17","9","2","6",1,95.897
"109","0",0,"17","9","2","6",2,1179.566
"110","0",0,"17","9","2","7",1,1279.135
"111","0",0,"17","9","2","7",2,13781.75
"112","0",0,"17","9","3","5",1,39.251
"113","0",0,"17","9","3","5",2,15.855
"114","0",0,"17","9","3","6",2,720.426
"115","0",0,"17","9","3","7",1,31.542
"116","0",0,"17","9","3","7",2,3769.254
"117","0",0,"18","9","2","2",1,54.666
"118","0",0,"18","9","2","6",2,331.163
"119","0",0,"18","9","2","7",1,66.635
"120","0",0,"18","9","2","7",2,156.439
"121","0",0,"19","4","1","7",2,160.727
"122","0",0,"19","4","2","6",2,151.762
"123","0",0,"19","4","2","7",2,187.71
"124","0",0,"19","5","3","7",2,6.274
"125","0",0,"19","7","2","7",2,309.52
"126","0",0,"19","9","2","5",2,44.851
"127","0",0,"19","9","2","6",2,831.127
"128","0",0,"19","9","2","7",1,20.351
"129","0",0,"19","9","2","7",2,1800.228
"130","0",0,"19","9","3","7",2,35.443
"131","0",0,"20","9","2","5",2,142.807
"132","0",0,"20","9","2","6",2,389.203
"133","0",0,"20","9","2","7",2,1231.838
"134","0",1,"1","6","2","6",2,89.281
"135","0",1,"1","6","2","7",2,19.014
"136","0",1,"1","6","3","6",1,16.029
"137","0",1,"1","9","2","2",2,151.376
"138","0",1,"1","9","2","3",1,151.092
"139","0",1,"1","9","2","3",2,244.528
"140","0",1,"1","9","2","4",1,305.126
"141","0",1,"1","9","2","4",2,544.745
"142","0",1,"1","9","2","5",1,608.533
"143","0",1,"1","9","2","5",2,1908.121
"144","0",1,"1","9","2","6",1,812.001
"145","0",1,"1","9","2","6",2,10637.361
"146","0",1,"1","9","2","7",1,372.092
"147","0",1,"1","9","2","7",2,11017.574
"148","0",1,"2","9","2","6",2,451.523
"149","0",1,"3","4","2","5",2,40.558
"150","0",1,"3","4","2","6",2,89.932
